"Table 236.65. Current expenditures per pupil in fall enrollment in public elementary and secondary schools, by state or jurisdiction: Selected school years, 1969-70 through 2020-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or jurisdiction,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\
State or jurisdiction,1969-70,1979-80,1989-90,1999-2000,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2018-19,2019-20\3\,2019-20\3\,2020-21\3\,2020-21\3\,1969-70,1979-80,1989-90,1999-2000,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2018-19,2019-20\3\,2019-20\3\,2020-21\3\,2020-21\3\
1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,15,15,16,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,30,30,31,31
New Hampshire,666,"1,732","4,786","6,860","13,548","13,774","14,050","14,601","14,969","15,535","15,958","16,588","17,457",,"17,825",,"19,396",,"5,284","6,686","11,295","12,144","18,364","18,139","18,200","18,622","18,953","19,538","19,709","20,035","20,656",,"20,767",,"22,089",
New Jersey,924,"2,825","7,546","10,337","16,855","17,982","18,523","18,780","18,559","19,041","19,585","20,316","21,328",,"21,385",,"22,784",,"7,329","10,907","17,810","18,300","22,846","23,681","23,994","23,953","23,500","23,948","24,188","24,538","25,237",,"24,915",,"25,947",
New Mexico,665,"1,870","3,446","5,825","9,250","9,013","9,164","9,403","9,724","9,959","9,949","9,963","10,466",,"11,617",,"11,912",,"5,276","7,221","8,133","10,312","12,538","11,870","11,870","11,993","12,312","12,526","12,287","12,033","12,384",,"13,535",,"13,566",
New York,"1,194","2,950","7,051","9,846","18,857","19,396","19,529","20,156","20,744","22,231","22,861","23,606","24,882",,"25,273",,"26,097",,"9,475","11,390","16,641","17,430","25,561","25,543","25,298","25,707","26,266","27,961","28,233","28,511","29,442",,"29,444",,"29,720",
North Carolina,570,"1,635","4,018","6,045","8,267","8,160","8,342","8,287","8,529","8,717","8,995","9,311","9,799",,"9,903",,"10,519",,"4,525","6,313","9,484","10,701","11,206","10,745","10,806","10,569","10,800","10,964","11,109","11,246","11,595",,"11,538",,"11,979",
North Dakota,662,"1,941","3,899","5,667","10,898","11,246","11,615","12,383","12,884","13,358","13,767","13,783","14,033",,"14,252",,"15,139",,"5,255","7,494","9,203","10,032","14,773","14,810","15,045","15,793","16,314","16,801","17,002","16,647","16,605",,"16,605",,"17,241",
Ohio,677,"1,894","4,531","7,065","11,395","11,323","11,276","11,434","11,730","11,933","12,569","12,893","13,433",,"13,729",,"14,389",,"5,367","7,313","10,694","12,506","15,446","14,911","14,606","14,584","14,852","15,009","15,523","15,573","15,895",,"15,994",,"16,387",
Oklahoma,554,"1,810","3,293","5,395","7,631","7,763","7,914","7,995","8,075","8,091","7,921","8,174","9,203",,"9,395",,"10,084",,"4,393","6,986","7,772","9,550","10,344","10,223","10,251","10,197","10,225","10,176","9,783","9,872","10,890",,"10,946",,"11,484",
Oregon,843,"2,412","4,864","7,149","9,516","9,485","9,572","9,959","10,457","10,823","11,252","11,903","12,457",,"12,838",,"13,820",,"6,690","9,312","11,481","12,655","12,899","12,491","12,399","12,702","13,241","13,613","13,896","14,376","14,740",,"14,957",,"15,739",
Pennsylvania,815,"2,328","5,737","7,772","13,096","13,091","13,445","13,824","14,405","15,165","15,782","16,377","16,892",,"17,172",,"17,822",,"6,468","8,989","13,541","13,759","17,752","17,240","17,416","17,632","18,240","19,074","19,491","19,780","19,987",,"20,006",,"20,296",
